No,Operator,Product,Nominal,Price,Discount
1,Tri,Tri 1.000,1000,1350,0
2,Tri,Tri 2.000,2000,2320,0
3,Tri,Tri 3.000,3000,3350,0
4,Tri,Tri 4.000,4000,4490,0
5,Smartfren,Smartfren 5.000,5000,5400,0
6,Tri,Tri 5.000,5000,5820,0
7,Telkomsel,Telkomsel 5.000,5000,5340,0
8,Indosat,Indosat 5.000,5000,5990,0
9,XL,XL 5.000,5000,5998,0
10,Axis,Axis 5.000,5000,5998,0
11,Telkomsel,Telkomsel 10.000,10000,10290,0
12,Indosat,Indosat 10.000,10000,10850,0
13,Smartfren,Smartfren 10.000,10000,10250,0
14,Tri,Tri 10.000,10000,10600,0
15,XL,XL 10.000,10000,11065,0
16,Axis,Axis 10.000,10000,11065,0
17,Indosat,Indosat 12.000,12000,11990,0
18,Tri,Tri 15.000,15000,15300,0
19,Telkomsel,Telkomsel 15.000,15000,14950,0
20,XL,XL 15.000,15000,15450,0
21,Axis,Axis 15.000,15000,15450,0
22,Indosat,Indosat 20.000,20000,19890,0
23,Smartfren,Smartfren 20.000,20000,19950,0
24,Telkomsel,Telkomsel 20.000,20000,19900,0
25,Tri,Tri 20.000,20000,20280,0
26,Smartfren,Smartfren 25.000,25000,25000,0
27,Tri,Tri 25.000,25000,25080,0
28,Indosat,Indosat 25.000,25000,24875,0
29,Telkomsel,Telkomsel 25.000,25000,25025,0
30,XL,XL 25.000,25000,24990,0
31,Axis,Axis 25.000,25000,24990,0
32,Indosat,Indosat 30.000,30000,29800,0
33,Tri,Tri 30.000,30000,30540,0
34,XL,XL 30.000,30000,30270,0
35,Axis,Axis 30.000,30000,30270,0
36,Telkomsel,Telkomsel 40.000,40000,39940,0
37,Telkomsel,Telkomsel 45.000,45000,45250,0
38,Indosat,Indosat 50.000,50000,48790,0
39,Smartfren,Smartfren 50.000,50000,49500,0
40,Tri,Tri 50.000,50000,49360,0
41,Telkomsel,Telkomsel 50.000,50000,50025,0
42,XL,XL 50.000,50000,50035,0
43,Axis,Axis 50.000,50000,50035,0
44,Telkomsel,Telkomsel 55.000 ,55000,55245,0
45,Indosat,Indosat 60.000,60000,59300,0
46,Smartfren,Smartfren 60.000,60000,59500,0
47,Telkomsel,Telkomsel 60.000,60000,60125,0
48,Telkomsel,Telkomsel 65.000 ,65000,65255,0
49,Telkomsel,Telkomsel 70.000 ,70000,70090,0
50,Telkomsel,Telkomsel 75.000,75000,73415,0
51,Indosat,Indosat 80.000,80000,79100,0
52,Telkomsel,Telkomsel 80.000 ,80000,80050,0
53,Telkomsel,Telkomsel 85.000 ,85000,85165,0
54,Telkomsel,Telkomsel 90.000,90000,90250,0
55,Telkomsel,Telkomsel 95.000 ,95000,95415,0
56,Indosat,Indosat 100.000,100000,96550,0
57,Smartfren,Smartfren 100.000,100000,99000,0
58,Tri,Tri 100.000,100000,100480,0
59,Telkomsel,Telkomsel 100.000,100000,99320,0
60,XL,XL 100.000,100000,99800,0
61,Axis,Axis 100.000,100000,99800,0
62,Indosat,Indosat 150.000,150000,146500,0
63,Tri,Tri 150.000,150000,149210,0
64,Telkomsel,Telkomsel 150.000,150000,148935,0
65,XL,XL 150.000,150000,149550,0
66,Smartfren,Smartfren 150.000,150000,149000,0
67,Indosat,Indosat 200.000,200000,192500,0
68,Tri,Tri 200.000,200000,198790,0
69,Telkomsel,Telkomsel 200.000,200000,199085,0
70,Smartfren,Smartfren 200.000,200000,198000,0
71,XL,XL 200.000,200000,199600,0
72,Axis,Axis 200.000,200000,199600,0
73,Tri,Tri 300.000,300000,297930,0
74,Smartfren,Smartfren 300.000,300000,299750,0
75,Telkomsel,Telkomsel 300.000,300000,298050,0
76,XL,XL 300.000,300000,299490,0
77,Axis,Axis 300.000,300000,299490,0
78,Tri,Tri 500.000,500000,495000,0
79,Smartfren,Smartfren 500.000,500000,499500,0
80,Telkomsel,Telkomsel 500.000,500000,499150,0
81,XL,XL 500.000,500000,503400,0
82,Axis,Axis 500.000,500000,503400,0
83,Telkomsel,Telkomsel 1.000.000,1000000,997450,0
84,XL,XL 1.000.000,1000000,999830,0
85,Axis,Axis 1.000.000,1000000,999730,0
